339	2	0	3	2	2	2	2	2	3	2	3	0.927735042	1	1	1	1	1	1	1	1	1	1	1	1
347	1	1	1	1	1	1	1	1	1	1	1	2.66925461	1	1	1	1	1	1	1	1	1	1	1	1
351	2	0	2	3	3	2	2	2	3	3	2	-0.233278004	1	1	2	1	1	2	1	1	1	1	1	2
352	2	0	1	999	3	1	999	2	1	999	2	1.508241564	1	999	2	1	999	2	1	999	2	1	999	3
357	1	1	1	1	1	1	1	1	1	1	1	1.508241564	1	1	1	1	1	1	1	1	1	1	1	1
365	2	0	2	1	2	2	1	2	3	1	2	0.347228519	2	2	2	2	2	2	2	2	1	3	3	2
366	2	0	2	1	2	2	1	2	2	1	2	0.927735042	1	1	1	1	1	1	1	1	1	1	1	1
367	1	1	2	2	2	2	2	3	3	3	3	-0.233278004	1	1	2	1	1	3	1	1	2	1	1	3
368	2	0	3	2	3	3	2	2	3	3	3	-0.233278004	2	2	2	999	3	2	999	2	2	999	3	3
374	2	0	1	1	1	1	1	1	1	1	1	-1.974797573	1	1	1	1	1	1	1	1	1	1	1	1
376	1	1	2	3	3	2	2	2	3	3	3	1.508241564	1	1	2	1	1	2	1	1	2	1	1	3
386	1	1	2	3	3	2	2	2	2	3	3	0.347228519	2	2	2	3	3	3	1	2	1	2	3	2
388	2	0	2	2	3	2	2	2	3	3	2	0.347228519	1	1	2	1	1	2	1	1	999	1	1	999
389	2	0	2	999	3	2	999	2	3	999	3	-0.233278004	1	999	999	1	999	3	1	999	1	1	999	999
391	1	1	2	2	999	2	2	999	2	2	999	-0.813784527	1	1	999	1	1	999	1	1	999	1	1	999
392	1	1	3	3	3	2	2	2	3	3	2	0.927735042	999	2	2	3	2	2	1	1	2	999	2	3
398	1	1	2	2	3	2	2	2	3	3	3	0.347228519	1	2	2	1	999	3	1	999	1	1	999	2
399	1	1	3	2	999	2	2	999	3	2	999	-1.39429105	2	2	999	2	2	999	2	2	999	3	3	999
404	1	1	1	1	1	1	1	1	1	1	1	999	1	1	1	1	1	1	1	1	1	1	1	1
405	1	1	2	2	1	2	2	1	3	3	1	1.508241564	1	1	1	1	1	1	1	1	1	1	1	1
407	2	0	2	2	2	2	2	2	3	3	3	-0.233278004	1	1	1	1	1	1	1	1	1	1	1	1
