stu_id,x1stdob,x1ses,x1sex,x1race,x1par1edu,x1par2edu,x1mtscor,x2mtscor,x3gpa9,x3gpaacd,x1parexp,s1eduexp,s2eduexp,s4eduexp
30052,199411,0.9079,2,8,4,NA,62.3112,55.8879,3.5,3.5,6,4,4,4
30053,199505,0.5923,1,8,3,3,68.0166,67.331,NA,3,8,NA,5,NA
30054,199500,NA,2,NA,NA,NA,NA,63.0431,3,2.5,NA,NA,4,NA
30055,199512,-0.1652,1,3,3,2,67.6639,68.4964,4,4,10,5,3,5
30056,199412,-1.6338,1,5,1,1,53.5264,50.9103,2.5,3,2,NA,4,NA
30057,199506,-1.3184,2,3,2,NA,52.1749,NA,1.5,2,10,3,NA,3
30058,199505,-1.3077,2,5,1,1,41.2097,NA,1.5,1.5,6,NA,NA,NA
30059,199502,1.1487,1,2,5,NA,65.552,65.8033,3.5,3,10,5,5,4
30060,199409,0.5762,2,8,2,4,51.0581,58.7526,2.5,2.5,6,NA,4,5
30061,199502,0.3745,2,3,4,2,58.7522,61.7158,3.5,3,8,5,5,5
30062,199410,0.3722,2,8,4,2,31.8169,NA,1.5,1,4,4,NA,NA
30063,199412,-1.1153,2,5,1,NA,49.2272,45.3983,2,1.5,10,5,4,NA
30064,199411,-0.7412,2,8,2,NA,53.7238,47.9664,3,3.5,6,4,4,4
30065,199507,-0.2917,1,2,2,2,65.9233,64.3023,3.5,3.5,10,6,5,4
30066,199407,0.1172,2,5,2,2,41.2314,52.2323,2,1.5,4,3,4,4
30067,199401,1.0553,1,8,2,5,45.919,54.0393,2.5,3,10,5,4,6
30068,199409,1.5276,1,8,7,4,64.8589,69.1195,4,4,8,5,6,NA
30069,199501,-0.8837,1,8,2,NA,50.8158,50.3793,2.5,2.5,2,5,4,NA
30070,199412,0.0964,1,3,2,3,58.6838,43.549,2.5,2,6,NA,3,4
30071,199410,-0.39,2,3,2,2,30.7375,31.7798,NA,1.5,6,2,6,NA
30072,199402,0.2822,2,5,3,4,41.7598,38.8298,2.5,2.5,6,3,4,2
30073,199506,-0.5434,1,6,3,NA,46.8491,55.1953,3,2,11,NA,2,3
30074,199410,0.0885,2,3,3,NA,29.5763,29.6712,2.5,2.5,10,2,3,NA
30075,199504,-0.3576,2,3,NA,NA,40.202,NA,2,2,NA,6,NA,NA
30076,199408,-0.8507,1,5,1,1,29.4005,46.6955,2.5,2,2,2,NA,NA
30077,199410,0.4781,1,3,5,3,57.336,67.6861,2.5,2.5,6,6,5,4
30078,199508,0.2025,2,8,4,3,63.5749,57.7961,4,4,8,4,5,5
30080,199507,-0.6094,2,3,2,2,36.0994,49.5956,2.5,2.5,11,2,6,4
30081,199505,0.1363,2,3,NA,NA,37.4578,51.9233,2,2,NA,6,NA,4
30082,199409,0.2697,1,5,3,2,53.0526,49.1457,2.5,2,8,4,NA,NA
30083,199408,-0.4414,2,8,3,2,45.9273,40.7074,1,1,11,2,1,NA
30084,199403,-0.4843,1,5,2,2,47.9262,NA,2.5,2,2,2,NA,2
